time,input_volt,output_volt
1752865987.5600352,-200.0,-0.196514025
1752865987.5600352,-160.0,-0.156184911
1752865987.5600352,-120.0,-0.116017854
1752865987.5600352,-80.0,-0.0765088822
1752865987.5600352,-40.0,-0.0363274156
1752865987.5600352,0.0,0.0036954395
1752865987.5600352,40.0,0.0434955183
1752865987.5600352,80.0,0.0833321206
1752865987.5600352,120.0,0.12355536
1752865987.5600352,160.0,0.16355923
1752865987.5600352,200.0,0.203673972
