time,voltage
1752865829.8058,29.9930594
1752865830.8684,29.9923548
1752865831.895,29.994366
1752865832.9214,29.9937126
1752865833.9955,29.9904302
1752865835.0227,29.9925792
1752865836.0484,29.990321
1752865837.124,29.995039
1752865838.1506,29.9919263
1752865839.1778,29.9947661
1752865840.2483,29.9902393
1752865841.275,29.9950313
1752865842.3019,29.9913631
1752865843.3744,29.9917267
1752865844.4012,29.9915531
1752865845.4278,29.9914797
1752865846.5033,29.9948268
1752865847.5298,29.9930644
1752865848.5565,29.9943311
1752865849.5831,29.9906143
1752865850.6098,29.9925874
1752865851.6364,29.9947471
1752865852.7096,29.9901341
1752865853.7362,29.9946225
1752865854.7627,29.9905741
1752865855.7895,29.992076
1752865856.8534,29.9947457
1752865857.8806,29.9925921
1752865858.9078,29.9910712
1752865859.9346,29.9949577
1752865860.9983,29.9931246
1752865862.0254,29.9902629
1752865863.0519,29.9925462
1752865864.1253,29.9946087
1752865865.1522,29.9921554
1752865866.1788,29.9948179
1752865867.2472,29.9917426
1752865868.2751,29.9925087
1752865869.3022,29.994451
1752865870.37,29.9902554
1752865871.3965,29.9931993
1752865872.4231,29.9945595
1752865873.4958,29.9909894
1752865874.5222,29.9947408
1752865875.5488,29.9931056
1752865876.5753,29.9902885
1752865877.602,29.9940923
1752865878.629,29.9937147
1752865879.6986,29.9904815
1752865880.7257,29.9946295
1752865881.7524,29.9933701
1752865882.7779,29.9905375
1752865883.8406,29.9930386
1752865884.8673,29.9945689
1752865885.8938,29.9935566
1752865886.9195,29.9906935
1752865887.9843,29.9919884
1752865889.0108,29.9950538
1752865890.0382,29.9926673
1752865891.0648,29.9906209
1752865892.1301,29.9934884
1752865893.1569,29.994756
1752865894.1838,29.9903417
1752865895.2093,29.9915575
1752865896.2707,29.9947966
1752865897.2978,29.995222
1752865898.3248,29.9911445
1752865899.3964,29.991338
1752865900.4231,29.9933371
1752865901.4498,29.9903738
1752865902.5258,29.9932539
1752865903.553,29.9906218
1752865904.5796,29.9943693
1752865905.6491,29.9939342
1752865906.6755,29.9908847
1752865907.7021,29.9949582
1752865908.7762,29.9929446
1752865909.8028,29.9945197
1752865910.8295,29.9936414
1752865911.9052,29.990511
1752865912.9319,29.9926975
1752865913.9592,29.9908948
1752865915.029,29.994876
1752865916.0559,29.9903114
1752865917.0826,29.9923758
1752865918.1547,29.9948755
1752865919.1815,29.9912155
1752865920.208,29.9946455
1752865921.2349,29.9936299
1752865922.2926,29.9903337
1752865923.3197,29.9906488
1752865924.3462,29.992157
1752865925.414,29.9949357
1752865926.4403,29.9902772
1752865927.4659,29.9914732
1752865928.5355,29.9949032
1752865929.5621,29.9906935
1752865930.5891,29.9928027
1752865931.6587,29.9944475
1752865932.6857,29.9908339
1752865933.7151,29.9951395
1752865934.7854,29.9906792
1752865935.8429,29.9947361
1752865936.8695,29.9936027
1752865937.8961,29.9939077
1752865938.9656,29.9905532
1752865939.9922,29.9949945
1752865941.0187,29.9921964
1752865942.0884,29.9911911
1752865943.1154,29.9942249
1752865944.142,29.990165
1752865945.2146,29.9944046
1752865946.2415,29.9903435
1752865947.2724,29.9943088
1752865948.3372,29.9907526
1752865949.3643,29.9914462
1752865950.3908,29.9948872
1752865951.4614,29.9913411
1752865952.4883,29.9945129
1752865953.5146,29.9932996
1752865954.5869,29.9908104
1752865955.6137,29.9937049
1752865956.6405,29.9905726
1752865957.716,29.9948064
1752865958.743,29.9916775
1752865959.7699,29.9950599
1752865960.8399,29.9910798
1752865961.8963,29.9942563
1752865962.9232,29.9916388
1752865963.9498,29.9948429
1752865964.9762,29.9926795
1752865966.04,29.9906825
1752865967.0668,29.9925527
1752865968.0932,29.9945801
1752865969.1201,29.9913218
