time,voltage
1752035173.4302,29.9940935
1752035174.4923,29.9956941
1752035175.5194,29.9948312
1752035176.5461,29.9895688
1752035177.5732,29.9952953
1752035178.6326,29.9924058
1752035179.6592,29.9923819
1752035180.6857,29.9904625
1752035181.7124,29.9958278
1752035182.7771,29.990069
1752035183.8035,29.9906797
1752035184.8298,29.9954476
1752035185.8566,29.9907992
1752035186.9184,29.9917557
1752035187.945,29.9947745
1752035188.9713,29.9934645
1752035189.9983,29.9904998
1752035191.0626,29.9953771
1752035192.0893,29.9937313
1752035193.1161,29.9900985
1752035194.1428,29.9958742
1752035195.1697,29.9909468
1752035196.1964,29.9917827
1752035197.2681,29.9952703
1752035198.2951,29.9915674
1752035199.3219,29.9950055
1752035200.3494,29.9896958
1752035201.4102,29.9942085
1752035202.4367,29.9955076
1752035203.4633,29.9921823
1752035204.5356,29.9910494
1752035205.562,29.9920108
1752035206.5886,29.9907601
1752035207.6153,29.9957334
1752035208.6778,29.9905422
1752035209.7045,29.9898443
1752035210.7312,29.9950308
1752035211.8056,29.9926991
1752035212.8325,29.995557
1752035213.859,29.9904415
1752035214.8851,29.9920999
1752035215.9493,29.995065
1752035216.9761,29.9905745
1752035218.0028,29.9921254
1752035219.0775,29.994972
1752035220.1039,29.9946705
1752035221.1303,29.9933652
1752035222.1573,29.9905314
1752035223.2193,29.9954982
1752035224.2458,29.9953485
1752035225.2723,29.9897293
1752035226.3435,29.9939052
1752035227.3703,29.9898984
1752035228.3972,29.9930006
1752035229.4241,29.9944976
1752035230.4878,29.9898223
1752035231.5145,29.9927483
1752035232.5519,29.9907816
1752035233.6149,29.9958409
1752035234.6417,29.9937737
1752035235.6683,29.9901578
1752035236.7378,29.9953312
1752035237.7648,29.9900455
1752035238.7912,29.9936123
1752035239.8604,29.9944906
1752035240.8871,29.9908425
1752035241.9138,29.9957597
1752035242.9862,29.9900385
1752035244.0129,29.9956531
1752035245.0396,29.9900893
1752035246.1083,29.9930051
1752035247.1346,29.993408
1752035248.1608,29.9899729
1752035249.2315,29.9953307
1752035250.258,29.9899286
1752035251.2867,29.9944906
1752035252.3566,29.9918604
1752035253.4144,29.9941181
1752035254.4413,29.9927624
1752035255.468,29.9947699
1752035256.4932,29.9898584
1752035257.5531,29.9937927
1752035258.5799,29.9940471
1752035259.6065,29.9942121
1752035260.6332,29.989741
1752035261.6971,29.9953546
1752035262.7238,29.9943154
1752035263.7504,29.9898251
1752035264.7772,29.994537
1752035265.8415,29.9944184
1752035266.8686,29.9893392
1752035267.8951,29.9942777
1752035268.9216,29.9935582
1752035269.9865,29.989651
1752035271.0134,29.9940333
1752035272.0394,29.9943892
1752035273.0662,29.9894652
1752035274.1307,29.9948765
1752035275.1575,29.9940511
1752035276.1843,29.9898382
1752035277.2111,29.9950547
1752035278.2754,29.9928938
1752035279.3021,29.9895318
1752035280.329,29.9953258
1752035281.3557,29.9922669
1752035282.4153,29.9909077
1752035283.4424,29.991145
1752035284.4686,29.995635
1752035285.4951,29.9905406
1752035286.5587,29.9918813
1752035287.5855,29.9956139
1752035288.6124,29.991215
1752035289.6392,29.9914992
1752035290.7029,29.9953705
1752035291.7297,29.9923993
1752035292.7565,29.9906617
1752035293.7835,29.9957119
1752035294.848,29.9904302
1752035295.8749,29.990783
1752035296.9016,29.995441
1752035297.9282,29.9909868
1752035298.9925,29.9910412
1752035300.019,29.9954345
1752035301.0457,29.9922341
1752035302.0725,29.9905181
1752035303.1368,29.9954361
1752035304.1633,29.9943184
1752035305.1898,29.9895665
1752035306.2163,29.9947221
1752035307.2801,29.9936791
1752035308.3071,29.9901137
1752035309.3337,29.9923327
1752035310.3604,29.995434
1752035311.4229,29.9898712
1752035312.4494,29.9898265
1752035313.476,29.9949399
1752035314.5025,29.9936678
1752035315.5671,29.9899099
1752035316.5934,29.9925698
1752035317.6199,29.9953658
1752035318.6464,29.9900017
1752035319.713,29.9920359
1752035320.7401,29.9951327
1752035321.7666,29.9904902
1752035322.7929,29.991722
1752035323.8574,29.9956748
1752035324.884,29.9928397
1752035325.9106,29.9900256
1752035326.9373,29.9948191
1752035327.9959,29.9938609
1752035329.0225,29.9947218
1752035330.0489,29.9900455
1752035331.0757,29.9915353
1752035332.1333,29.9956495
1752035333.2412,29.9955631
1752035334.2678,29.9927308
1752035335.2946,29.9900802
1752035336.3697,29.995158
1752035337.3963,29.9903302
1752035338.4685,29.9938946
1752035339.4948,29.9898253
1752035340.53,29.9927326
1752035341.5561,29.989975
1752035342.5829,29.9924344
1752035343.6096,29.9954928
1752035344.6777,29.9920404
1752035345.7341,29.9920804
1752035346.7607,29.989476
1752035347.7872,29.9938044
1752035348.8137,29.9949064
1752035349.8766,29.9902512
1752035350.9031,29.9895658
1752035351.9297,29.993375
1752035352.9563,29.9951679
1752035354.0219,29.9903332
1752035355.0482,29.9905502
1752035356.0749,29.9958674
1752035357.1018,29.9932394
1752035358.1637,29.9898569
1752035359.1903,29.9900275
1752035360.2168,29.9947537
1752035361.2906,29.9938614
1752035362.3169,29.9941078
1752035363.3434,29.9945963
1752035364.4133,29.9903845
1752035365.44,29.9947218
1752035366.4663,29.9943432
1752035367.5366,29.9899481
1752035368.5629,29.9953658
1752035369.5897,29.9937719
