time,voltage
1752927162.254,29.994916
1752927163.2808,29.9918019
1752927164.3075,29.9948912
1752927165.3344,29.9904888
1752927166.3912,29.9933858
1752927167.4179,29.9916278
1752927168.4448,29.9951564
1752927169.5171,29.9909646
1752927170.5441,29.9949805
1752927171.5707,29.9905663
1752927172.645,29.9932663
1752927173.672,29.9908739
1752927174.6991,29.9949608
1752927175.7255,29.9922655
1752927176.7874,29.9915032
1752927177.8143,29.9932572
1752927178.8411,29.9940668
1752927179.8677,29.9907626
1752927180.9288,29.9947209
1752927181.9555,29.9951761
1752927182.9819,29.9919352
1752927184.0542,29.9919024
1752927185.081,29.9916583
1752927186.1084,29.991796
1752927187.1827,29.994853
1752927188.2092,29.9936821
1752927189.2366,29.993982
1752927190.2633,29.990686
1752927191.3195,29.9945796
1752927192.3467,29.9921252
1752927193.3736,29.9946244
1752927194.4418,29.9906345
1752927195.4687,29.9943407
1752927196.4954,29.9937993
1752927197.5644,29.9906605
1752927198.5907,29.995162
1752927199.6174,29.9922325
1752927200.6903,29.9914193
1752927201.717,29.9927279
1752927202.7437,29.990954
1752927203.8188,29.9949774
1752927204.8451,29.9913251
1752927205.8721,29.9949704
1752927206.9417,29.9925218
1752927207.9681,29.9923606
1752927208.995,29.9950676
1752927210.067,29.9913809
1752927211.0938,29.9951093
1752927212.1207,29.9932649
1752927213.1955,29.9905443
1752927214.2222,29.9935214
1752927215.2492,29.990866
1752927216.3189,29.9946005
1752927217.3456,29.9924663
1752927218.372,29.991
1752927219.4435,29.9949702
1752927220.4702,29.9906575
1752927221.4971,29.9924684
1752927222.5723,29.9952225
1752927223.5995,29.9934811
1752927224.6261,29.9949353
1752927225.6955,29.9910239
1752927226.7225,29.9943646
1752927227.7493,29.9943278
1752927228.8207,29.9906865
1752927229.847,29.9952592
1752927230.8736,29.9928151
1752927231.9437,29.9908643
1752927232.9704,29.9950915
1752927233.9968,29.991789
1752927235.0655,29.9913214
1752927236.0923,29.9952967
1752927237.1193,29.9913476
1752927238.1907,29.9917269
1752927239.2164,29.9941518
1752927240.2431,29.9905858
1752927241.2704,29.9928716
1752927242.3297,29.9947874
1752927243.3567,29.9950772
1752927244.3836,29.9912045
1752927245.4138,29.9917426
1752927246.4742,29.9939661
1752927247.5005,29.9944454
1752927248.5272,29.9907184
1752927249.5539,29.9928456
1752927250.6178,29.9948968
1752927251.6449,29.9931084
1752927252.6718,29.9906521
1752927253.6985,29.9947157
1752927254.7593,29.994175
1752927255.7863,29.9939103
1752927256.8127,29.9907017
1752927257.8392,29.9932412
1752927258.866,29.994786
1752927259.8927,29.9910606
1752927260.9608,29.991945
1752927262.0172,29.9948954
1752927263.0441,29.9943629
1752927264.0707,29.9940699
1752927265.1454,29.9907174
1752927266.1722,29.9941324
1752927267.1993,29.9906413
1752927268.2265,29.9937543
1752927269.2884,29.9945621
1752927270.3148,29.9942121
1752927271.341,29.990605
1752927272.4144,29.9928128
1752927273.4409,29.9909569
1752927274.4677,29.992228
1752927275.4947,29.9951744
1752927276.5576,29.9911829
1752927277.5846,29.9904567
1752927278.6115,29.9936196
1752927279.683,29.99469
1752927280.7095,29.9916756
1752927281.7365,29.9953933
1752927282.8118,29.9925162
1752927283.839,29.9951712
1752927284.8647,29.9924047
1752927285.9361,29.9914238
1752927286.9629,29.9939902
1752927287.9899,29.990635
1752927289.0631,29.9938599
1752927290.0899,29.9905101
1752927291.1166,29.993625
1752927292.185,29.9948795
1752927293.2119,29.9907648
1752927294.2385,29.9943999
1752927295.3071,29.9945611
1752927296.3341,29.9910112
1752927297.3608,29.9948338
1752927298.4333,29.9934821
1752927299.4599,29.9938543
1752927300.4864,29.9941526
1752927301.556,29.9904736
1752927302.5826,29.994942
1752927303.6092,29.9935725
1752927304.6789,29.9907209
1752927305.7055,29.995092
1752927306.7318,29.9921598
1752927307.8044,29.9912588
1752927308.8315,29.993204
1752927309.86,29.9909986
1752927310.9324,29.9952831
1752927311.9593,29.9909135
1752927312.9948,29.9948408
1752927314.0658,29.9913818
1752927315.0934,29.9938625
1752927316.1204,29.9905295
1752927317.1921,29.9939108
