time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752865829.911,-152.00000596046448,12805.821132236233,12805.82141857684,12816.46168675238,15865.460891638904,"[[14, -1, -1], [15, -1, -1], [16, -1, -1], [17, -1, -1], [18, -1, -1], [19, -1, -1], [20, -1, -1], [21, -1, -1], [22, -1, -1], [23, -1, -1]]"
1752865830.021,-150.00000190734863,12805.821147429138,12805.821399539722,12816.46168675238,15865.460891638904,"[[25, -1, -1], [26, -1, -1], [27, -1, -1], [28, 1, 11431], [28, 1, 11508], [28, 1, 11630], [28, -1, -1], [29, -1, -1], [30, -1, -1], [31, -1, -1], [32, -1, -1], [33, -1, -1], [34, -1, -1]]"
1752865830.131,-147.9999978542328,12805.821147429138,12805.821412512863,12816.461683660076,15865.460891638904,"[[36, -1, -1], [37, -1, -1], [38, -1, -1], [39, -1, -1], [40, -1, -1], [41, -1, -1], [42, -1, -1], [43, -1, -1], [44, -1, -1], [45, -1, -1]]"
1752865830.2415,-145.99999380111694,12805.821133652344,12805.821412512863,12816.461683660076,15865.460891638904,"[[47, -1, -1], [48, -1, -1], [49, -1, -1], [50, -1, -1], [51, -1, -1], [52, 1, 9720], [52, 1, 9924], [52, -1, -1], [53, -1, -1], [54, -1, -1], [55, -1, -1], [56, -1, -1], [57, -1, -1]]"
1752865830.351,-143.9999897480011,12805.821133652344,12805.821404705648,12816.461692316878,15865.460891638904,"[[58, -1, -1], [59, -1, -1], [60, -1, -1], [61, -1, -1], [62, -1, -1], [63, -1, -1], [64, -1, -1], [65, -1, -1], [66, -1, -1], [67, -1, -1]]"
1752865830.461,-141.99998569488525,12805.82111214463,12805.821404705648,12816.46168415232,15865.460891638904,"[[69, -1, -1], [70, -1, -1], [71, -1, -1], [72, -1, -1], [73, -1, -1], [74, -1, -1], [75, -1, -1], [76, -1, -1], [77, -1, -1], [78, -1, -1]]"
1752865830.571,-139.9999816417694,12805.82111214463,12805.821395668978,12816.46168415232,15865.460891638904,"[[80, -1, -1], [81, -1, -1], [82, -1, -1], [83, -1, -1], [84, -1, -1], [85, -1, -1], [86, -1, -1], [87, -1, -1], [88, -1, -1], [89, -1, -1]]"
1752865830.681,-137.99997758865356,12805.821068544672,12805.821395668978,12816.461679634893,15865.460891638904,"[[91, -1, -1], [92, -1, -1], [93, 1, 11834], [93, 1, 12037], [93, -1, -1], [94, -1, -1], [95, -1, -1], [96, -1, -1], [97, -1, -1], [98, -1, -1], [99, -1, -1], [100, -1, -1]]"
1752865830.791,-135.99997353553772,12805.821068544672,12805.82139728122,12816.461679634893,15865.460891638904,"[[102, -1, -1], [103, -1, -1], [104, -1, -1], [105, -1, -1], [106, -1, -1], [107, -1, -1], [108, -1, -1], [109, 1, 9962], [109, 1, 10162], [109, -1, -1], [110, -1, -1], [111, -1, -1]]"
1752865830.901,-133.99996948242188,12805.821103565431,12805.82139728122,12816.461688851865,15865.460891638904,"[[113, -1, -1], [114, -1, -1], [115, -1, -1], [116, 1, 12241], [116, 1, 12424], [116, -1, -1], [117, -1, -1], [118, -1, -1], [119, -1, -1], [120, -1, -1], [121, -1, -1], [122, -1, -1]]"
1752865831.011,-131.99996542930603,12805.821103565431,12805.821395673058,12816.461688851865,15865.460891638904,"[[124, -1, -1], [125, -1, -1], [126, -1, -1], [127, -1, -1], [128, -1, -1], [129, -1, -1], [130, -1, -1], [131, -1, -1], [132, -1, -1], [133, -1, -1]]"
1752865831.1225,-129.99996137619019,12805.821127369843,12805.821395673058,12816.46167920072,15865.460891638904,"[[135, -1, -1], [136, -1, -1], [137, -1, -1], [138, -1, -1], [139, -1, -1], [140, -1, -1], [141, -1, -1], [142, -1, -1], [143, -1, -1], [144, -1, -1], [145, -1, -1]]"
1752865831.2335,-127.99995732307434,12805.821178169588,12805.821402170644,12816.46167920072,15865.460891638904,"[[146, -1, -1], [147, -1, -1], [148, -1, -1], [149, -1, -1], [150, -1, -1], [151, -1, -1], [152, -1, -1], [153, -1, -1], [154, -1, -1], [155, -1, -1], [156, -1, -1]]"
1752865831.6535,-125.9999607205391,12805.821079862788,12805.82139200193,12816.461681779361,15865.460891638904,"[[157, -1, -1], [158, -1, -1], [159, -1, -1], [160, -1, -1], [161, 1, 10631], [161, 1, 10835], [161, -1, -1], [162, -1, -1], [163, -1, -1], [164, -1, -1], [165, -1, -1], [166, -1, -1], [167, -1, -1], [168, -1, -1], [169, -1, -1], [170, -1, -1], [171, -1, -1], [172, -1, -1], [173, -1, -1], [174, -1, -1], [175, -1, -1], [176, -1, -1], [177, -1, -1], [178, -1, -1], [179, -1, -1], [180, -1, -1], [181, -1, -1], [182, 1, 93163], [182, -1, -1], [183, -1, -1], [184, -1, -1], [185, -1, -1], [186, -1, -1], [187, 1, 10783], [187, 1, 10986], [187, 1, 11226], [187, -1, -1], [188, -1, -1], [189, -1, -1], [190, -1, -1], [191, -1, -1], [192, -1, -1], [193, -1, -1], [194, 1, 13119], [194, 1, 13323], [194, -1, -1], [195, -1, -1], [196, -1, -1], [197, -1, -1], [198, -1, -1]]"
1752865831.7635,-123.99996411800385,12805.821079862788,12805.82139200193,12816.461680497983,15865.460891638904,"[[199, 1, 10496], [199, 1, 10562], [199, 1, 10698], [199, 1, 10751], [199, -1, -1], [200, -1, -1], [201, -1, -1], [202, -1, -1], [203, -1, -1], [204, -1, -1], [205, -1, -1], [206, -1, -1], [207, -1, -1], [208, -1, -1], [209, -1, -1]]"
1752865831.8725,-121.9999675154686,12805.821072889943,12805.82138088668,12816.461680497983,15865.460891638904,"[[210, -1, -1], [211, -1, -1], [212, -1, -1], [213, -1, -1], [214, -1, -1], [215, -1, -1], [216, -1, -1], [217, -1, -1], [218, -1, -1], [219, -1, -1], [220, -1, -1]]"
1752865831.9835,-119.99997091293335,12805.821072889943,12805.821388029899,12816.461683868449,15865.460891638904,"[[221, -1, -1], [222, -1, -1], [223, -1, -1], [224, -1, -1], [225, -1, -1], [226, -1, -1], [227, -1, -1], [228, -1, -1], [229, -1, -1], [230, -1, -1], [231, -1, -1]]"
1752865832.0935,-117.9999743103981,12805.821101781463,12805.821388029899,12816.461683868449,15865.460891638904,"[[232, -1, -1], [233, -1, -1], [234, -1, -1], [235, -1, -1], [236, 1, 12055], [236, 1, 12258], [236, -1, -1], [237, -1, -1], [238, -1, -1], [239, -1, -1], [240, -1, -1], [241, -1, -1], [242, -1, -1]]"
1752865832.2045,-115.99997770786285,12805.821101781463,12805.821387764312,12816.461682752562,15865.460891638904,"[[243, -1, -1], [244, -1, -1], [245, -1, -1], [246, -1, -1], [247, -1, -1], [248, -1, -1], [249, -1, -1], [250, -1, -1], [251, -1, -1], [252, -1, -1], [253, -1, -1]]"
1752865832.3155,-113.9999811053276,12805.821123313412,12805.821387764312,12816.461682752562,15865.460891638904,"[[254, -1, -1], [255, -1, -1], [256, -1, -1], [257, -1, -1], [258, -1, -1], [259, -1, -1], [260, -1, -1], [261, -1, -1], [262, -1, -1], [263, -1, -1], [264, -1, -1]]"
1752865832.4256,-111.99998450279236,12805.821123313412,12805.821387076994,12816.461679094122,15865.460891638904,"[[265, -1, -1], [266, -1, -1], [267, -1, -1], [268, -1, -1], [269, -1, -1], [270, -1, -1], [271, -1, -1], [272, -1, -1], [273, -1, -1], [274, -1, -1], [275, -1, -1]]"
1752865832.5356,-109.99998790025711,12805.821109295995,12805.821387076994,12816.461679094122,15865.460891638904,"[[276, -1, -1], [277, -1, -1], [278, -1, -1], [279, -1, -1], [280, -1, -1], [281, -1, -1], [282, -1, -1], [283, -1, -1], [284, -1, -1], [285, -1, -1], [286, -1, -1]]"
1752865832.6455,-107.99999129772186,12805.821109295995,12805.821389384198,12816.461676129347,15865.460891638904,"[[287, -1, -1], [288, -1, -1], [289, -1, -1], [290, -1, -1], [291, -1, -1], [292, -1, -1], [293, -1, -1], [294, -1, -1], [295, -1, -1], [296, -1, -1], [297, -1, -1]]"
1752865832.7565,-105.99999469518661,12805.821051205014,12805.821389384198,12816.461676129347,15865.460891638904,"[[298, -1, -1], [299, -1, -1], [300, -1, -1], [301, -1, -1], [302, -1, -1], [303, -1, -1], [304, -1, -1], [305, 1, 12372], [305, 1, 12412], [305, 1, 12606], [305, -1, -1], [306, -1, -1], [307, -1, -1], [308, -1, -1]]"
1752865832.8665,-103.99999809265137,12805.821051205014,12805.821386191952,12816.461683300224,15865.460891638904,"[[309, -1, -1], [310, -1, -1], [311, -1, -1], [312, -1, -1], [313, -1, -1], [314, -1, -1], [315, -1, -1], [316, -1, -1], [317, -1, -1], [318, -1, -1], [319, -1, -1]]"
1752865832.9765,-102.00000149011612,12805.821045966848,12805.821386191952,12816.461683300224,15865.460891638904,"[[320, -1, -1], [321, -1, -1], [322, -1, -1], [323, 1, 9791], [323, 1, 9828], [323, 1, 10021], [323, -1, -1], [324, -1, -1], [325, -1, -1], [326, -1, -1], [327, -1, -1], [328, -1, -1], [329, -1, -1], [330, -1, -1]]"
1752865833.0865,-100.00000488758087,12805.821045966848,12805.821384078055,12816.461679824552,15865.460891638904,"[[331, -1, -1], [332, -1, -1], [333, -1, -1], [334, -1, -1], [335, -1, -1], [336, -1, -1], [337, -1, -1], [338, -1, -1], [339, -1, -1], [340, -1, -1], [341, -1, -1]]"
1752865833.1972,-98.00000828504562,12805.821095248037,12805.821384078055,12816.461679824552,15865.460891638904,"[[342, -1, -1], [343, -1, -1], [344, -1, -1], [345, -1, -1], [346, -1, -1], [347, -1, -1], [348, -1, -1], [349, -1, -1], [350, -1, -1], [351, 1, 10639], [351, 1, 10839], [351, 1, 11123], [351, -1, -1], [352, -1, -1]]"
