time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752866016.8734,-152.00000596046448,12805.821106032867,12805.821378194125,12816.461696528015,15865.460891638904,"[[14, 1, 12034], [14, 1, 12237], [14, 1, 12288], [14, -1, -1], [15, 1, 9672], [15, 1, 9857], [15, -1, -1], [16, -1, -1], [17, -1, -1], [18, -1, -1], [19, -1, -1], [20, -1, -1], [21, -1, -1], [22, -1, -1], [23, -1, -1], [24, -1, -1]]"
1752866016.9835,-150.00000190734863,12805.821087139571,12805.82136934712,12816.461696528015,15865.460891638904,"[[25, -1, -1], [26, -1, -1], [27, -1, -1], [28, 1, 9509], [28, 1, 9551], [28, 1, 9744], [28, 1, 9916], [28, 1, 11519], [28, -1, -1], [29, -1, -1], [30, -1, -1], [31, -1, -1], [32, -1, -1], [33, -1, -1], [34, -1, -1], [35, -1, -1]]"
1752866017.0944,-147.9999978542328,12805.821087139571,12805.82136934712,12816.461686430159,15865.460891638904,"[[36, -1, -1], [37, -1, -1], [38, -1, -1], [39, -1, -1], [40, -1, -1], [41, -1, -1], [42, -1, -1], [43, -1, -1], [44, -1, -1], [45, -1, -1], [46, -1, -1]]"
1752866017.2055,-145.99999380111694,12805.821078967958,12805.821375728665,12816.461686430159,15865.460891638904,"[[47, -1, -1], [48, -1, -1], [49, -1, -1], [50, -1, -1], [51, 1, 9605], [51, 1, 9798], [51, -1, -1], [52, -1, -1], [53, -1, -1], [54, -1, -1], [55, -1, -1], [56, -1, -1], [57, -1, -1]]"
1752866017.3165,-143.9999897480011,12805.821078967958,12805.821366834154,12816.461687624711,15865.460891638904,"[[58, 1, 11248], [58, 1, 11433], [58, -1, -1], [59, -1, -1], [60, -1, -1], [61, -1, -1], [62, -1, -1], [63, -1, -1], [64, -1, -1], [65, -1, -1], [66, -1, -1], [67, -1, -1], [68, -1, -1]]"
1752866017.4275,-141.99998569488525,12805.821135661314,12805.821366834154,12816.461687624711,15865.460891638904,"[[69, -1, -1], [70, -1, -1], [71, -1, -1], [72, -1, -1], [73, -1, -1], [74, -1, -1], [75, -1, -1], [76, -1, -1], [77, -1, -1], [78, -1, -1], [79, -1, -1]]"
1752866017.5384,-139.9999816417694,12805.821135661314,12805.82137060697,12816.461684939848,15865.460891638904,"[[80, 1, 66734], [80, -1, -1], [81, -1, -1], [82, -1, -1], [83, -1, -1], [84, -1, -1], [85, -1, -1], [86, -1, -1], [87, -1, -1], [88, -1, -1], [89, -1, -1], [90, -1, -1]]"
1752866017.6495,-137.99997758865356,12805.821143133942,12805.82137060697,12816.461684939848,15865.460891638904,"[[91, 1, 12312], [91, 1, 12511], [91, 1, 12705], [91, -1, -1], [92, 1, 12415], [92, 1, 12458], [92, 1, 12645], [92, -1, -1], [93, -1, -1], [94, -1, -1], [95, -1, -1], [96, -1, -1], [97, -1, -1], [98, -1, -1], [99, -1, -1], [100, 1, 10384], [100, 1, 10571], [100, -1, -1], [101, -1, -1]]"
1752866017.7594,-135.99997353553772,12805.821143133942,12805.821364605485,12816.461688422165,15865.460891638904,"[[102, -1, -1], [103, -1, -1], [104, -1, -1], [105, 1, 8616], [105, 1, 8804], [105, -1, -1], [106, -1, -1], [107, -1, -1], [108, -1, -1], [109, -1, -1], [110, -1, -1], [111, -1, -1], [112, -1, -1]]"
1752866017.8694,-133.99996948242188,12805.821127646775,12805.821364605485,12816.461686644327,15865.460891638904,"[[113, -1, -1], [114, -1, -1], [115, -1, -1], [116, -1, -1], [117, -1, -1], [118, -1, -1], [119, -1, -1], [120, -1, -1], [121, -1, -1], [122, -1, -1], [123, -1, -1]]"
