time,voltage
1752034345.9737,29.9944018
1752034347.036,29.991089
1752034348.0627,29.989946
1752034349.0894,29.9933687
1752034350.1167,29.9945944
1752034351.1785,29.9895194
1752034352.2054,29.9908339
1752034353.2322,29.9955352
1752034354.2588,29.991469
1752034355.3184,29.9907706
1752034356.3453,29.9911576
1752034357.3719,29.9956784
1752034358.4495,29.9912516
1752034359.4763,29.9931307
1752034360.5024,29.9896944
1752034361.5296,29.9951278
1752034362.5926,29.9928268
1752034363.6195,29.9900933
1752034364.6463,29.9925115
1752034365.714,29.9955668
1752034366.7406,29.9894868
1752034367.7672,29.9944653
1752034368.794,29.9940338
1752034369.8588,29.9899938
1752034370.8853,29.9927469
1752034371.9115,29.9952595
1752034372.9853,29.9894294
1752034374.0117,29.9948952
1752034375.0381,29.9895224
1752034376.0652,29.9934575
1752034377.1225,29.9939761
1752034378.1489,29.9959351
1752034379.1744,29.9915463
1752034380.2008,29.9908519
1752034381.2805,29.9904611
1752034382.3076,29.9958285
1752034383.3339,29.9913516
1752034384.395,29.9910543
1752034385.4216,29.991789
1752034386.4481,29.9955141
1752034387.4752,29.9903454
1752034388.5392,29.991454
1752034389.5655,29.9952794
1752034390.592,29.9931232
1752034391.6185,29.9901517
1752034392.6835,29.9947474
1752034393.7097,29.995256
1752034394.7362,29.9896709
1752034395.7624,29.9919295
1752034396.824,29.995214
1752034398.038,29.9896035
1752034399.0644,29.992199
1752034400.0912,29.9954642
1752034401.1183,29.9900863
1752034402.1794,29.9916566
1752034403.2057,29.9916695
1752034404.2325,29.9959012
1752034405.2596,29.9913931
1752034406.3223,29.9908695
1752034407.3633,29.9917717
1752034408.3898,29.9923142
1752034409.4529,29.9957578
1752034410.4797,29.9943723
1752034411.5066,29.9899085
1752034412.5782,29.9924707
1752034413.6052,29.9915739
1752034414.7733,29.9913584
1752034415.7999,29.9958349
1752034416.8265,29.9921716
1752034417.8529,29.9903189
1752034418.879,29.9941622
1752034419.9484,29.9947525
1752034420.9751,29.9899692
1752034422.0015,29.9947239
1752034423.0749,29.994205
1752034424.1014,29.9933223
1752034425.128,29.9951702
1752034426.155,29.9909168
1752034427.2166,29.9913408
1752034428.2438,29.9930941
1752034429.2709,29.9950547
1752034430.3445,29.9905937
1752034431.3762,29.9918771
1752034432.4027,29.9902641
1752034433.4291,29.9948205
1752034434.4866,29.9943072
1752034435.543,29.9958299
1752034436.5686,29.9924339
1752034437.5948,29.9957932
1752034438.6645,29.9905071
1752034439.6912,29.9939389
1752034440.7178,29.9947345
1752034441.7929,29.9901648
1752034442.8197,29.9941928
1752034443.8462,29.9898708
1752034444.9155,29.9925127
1752034445.9423,29.9937777
1752034446.9687,29.9895219
1752034448.0414,29.9938808
1752034449.0685,29.9897164
1752034450.095,29.9927062
1752034451.1702,29.9953471
1752034452.1965,29.993174
1752034453.224,29.9944058
1752034454.2929,29.9900207
1752034455.3197,29.9948865
1752034456.3469,29.9936287
1752034457.4182,29.9896274
1752034458.4449,29.9952047
1752034459.4714,29.9904527
1752034460.4979,29.9914123
1752034461.5606,29.9959525
1752034462.6168,29.9945023
1752034463.644,29.9956261
1752034464.6704,29.9924374
1752034465.6965,29.9900786
1752034466.7598,29.9949941
1752034467.7859,29.9958416
1752034468.8123,29.9909013
1752034469.8392,29.9913268
1752034470.9041,29.9955237
1752034471.9305,29.9925747
1752034472.9571,29.9903007
1752034473.9838,29.9958379
1752034475.048,29.9917091
1752034476.0745,29.9897115
1752034477.1014,29.9945543
1752034478.1277,29.9937161
1752034479.1921,29.9896578
1752034480.2188,29.9939534
1752034481.2462,29.9936079
1752034482.2726,29.9900835
1752034483.3367,29.9949451
1752034484.3634,29.994623
1752034485.39,29.9894123
1752034486.4168,29.9943697
1752034487.4819,29.9935296
1752034488.5085,29.9893036
1752034489.5352,29.9941638
1752034490.5619,29.9938487
1752034491.6271,29.9898096
