time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927164.5629,-161.99992191791534,12805.821162353934,12805.82140861659,12816.461746046061,15865.460891638904,"[[235, -1, -1], [236, -1, -1], [237, -1, -1], [238, -1, -1], [239, -1, -1], [240, -1, -1], [241, -1, -1], [242, -1, -1], [243, -1, -1], [244, -1, -1], [245, -1, -1]]"
1752927164.6738,-159.9999178647995,12805.821162353934,12805.821408841117,12816.461744813445,15865.460891638904,"[[246, -1, -1], [247, -1, -1], [248, -1, -1], [249, -1, -1], [250, -1, -1], [251, -1, -1], [252, -1, -1], [253, 1, 11269], [253, -1, -1], [254, -1, -1], [255, -1, -1], [256, -1, -1]]"
1752927164.7829,-157.99991381168365,12805.821253083293,12805.821408841117,12816.461744813445,15865.460891638904,"[[257, -1, -1], [258, -1, -1], [259, -1, -1], [260, -1, -1], [261, -1, -1], [262, -1, -1], [263, -1, -1], [264, -1, -1], [265, -1, -1], [266, -1, -1], [267, -1, -1]]"
1752927164.8938,-155.9999097585678,12805.821253083293,12805.82142110262,12816.461746569179,15865.460891638904,"[[268, -1, -1], [269, -1, -1], [270, -1, -1], [271, -1, -1], [272, -1, -1], [273, -1, -1], [274, -1, -1], [275, -1, -1], [276, -1, -1], [277, -1, -1], [278, -1, -1]]"
1752927165.0038,-153.99990570545197,12805.821080895532,12805.82142110262,12816.461746569179,15865.460891638904,"[[279, -1, -1], [280, -1, -1], [281, -1, -1], [282, -1, -1], [283, -1, -1], [284, -1, -1], [285, -1, -1], [286, -1, -1], [287, -1, -1], [288, -1, -1], [289, -1, -1]]"
1752927165.1138,-151.99990165233612,12805.821080895532,12805.8214313868,12816.461746820536,15865.460891638904,"[[290, -1, -1], [291, -1, -1], [292, -1, -1], [293, -1, -1], [294, -1, -1], [295, -1, -1], [296, -1, -1], [297, -1, -1], [298, -1, -1], [299, -1, -1], [300, -1, -1]]"
1752927165.2238,-149.99989759922028,12805.821082560948,12805.8214313868,12816.461746820536,15865.460891638904,"[[301, -1, -1], [302, -1, -1], [303, -1, -1], [304, -1, -1], [305, -1, -1], [306, -1, -1], [307, -1, -1], [308, -1, -1], [309, -1, -1], [310, -1, -1], [311, -1, -1]]"
1752927165.3348,-147.99989354610443,12805.821082560948,12805.821418680436,12816.461755573646,15865.460891638904,"[[312, -1, -1], [313, -1, -1], [314, -1, -1], [315, -1, -1], [316, -1, -1], [317, -1, -1], [318, -1, -1], [319, -1, -1], [320, 1, 12645], [320, 1, 12832], [320, -1, -1], [321, -1, -1], [322, -1, -1]]"
1752927165.4448,-145.9998894929886,12805.821065190637,12805.821418680436,12816.461755573646,15865.460891638904,"[[323, -1, -1], [324, -1, -1], [325, -1, -1], [326, -1, -1], [327, -1, -1], [328, -1, -1], [329, -1, -1], [330, -1, -1], [331, -1, -1], [332, -1, -1], [333, -1, -1]]"
1752927165.5538,-143.99988543987274,12805.821065190637,12805.82142399282,12816.461750853432,15865.460891638904,"[[334, -1, -1], [335, -1, -1], [336, -1, -1], [337, -1, -1], [338, -1, -1], [339, -1, -1], [340, -1, -1], [341, -1, -1], [342, -1, -1], [343, -1, -1], [344, -1, -1]]"
1752927165.6639,-141.9998813867569,12805.821222311355,12805.82142399282,12816.461748052834,15865.460891638904,"[[345, -1, -1], [346, -1, -1], [347, -1, -1], [348, -1, -1], [349, -1, -1], [350, -1, -1], [351, -1, -1], [352, -1, -1], [353, -1, -1], [354, -1, -1], [355, -1, -1]]"
1752927165.7748,-139.99987733364105,12805.821222311355,12805.821400955032,12816.461748052834,15865.460891638904,"[[356, -1, -1], [357, -1, -1], [358, -1, -1], [359, -1, -1], [360, -1, -1], [361, -1, -1], [362, -1, -1], [363, -1, -1], [364, -1, -1], [365, -1, -1], [366, -1, -1]]"
1752927165.8858,-137.9998732805252,12805.821251533745,12805.821400955032,12816.461744300694,15865.460891638904,"[[367, -1, -1], [368, -1, -1], [369, -1, -1], [370, -1, -1], [371, -1, -1], [372, -1, -1], [373, -1, -1], [374, -1, -1], [375, -1, -1], [376, -1, -1], [377, -1, -1]]"
1752927165.9958,-135.99986922740936,12805.821251533745,12805.82140384528,12816.461744300694,15865.460891638904,"[[378, -1, -1], [379, -1, -1], [380, -1, -1], [381, -1, -1], [382, -1, -1], [383, -1, -1], [384, -1, -1], [385, -1, -1], [386, -1, -1], [387, -1, -1], [388, -1, -1]]"
1752927166.1058,-133.99986517429352,12805.821107172473,12805.82140384528,12816.461742616073,15865.460891638904,"[[389, -1, -1], [390, -1, -1], [391, -1, -1], [392, -1, -1], [393, -1, -1], [394, -1, -1], [395, -1, -1], [396, -1, -1], [397, -1, -1], [398, -1, -1], [399, -1, -1]]"
1752927166.2173,-131.99986112117767,12805.821107172473,12805.821410432614,12816.461742616073,15865.460891638904,"[[400, -1, -1], [401, -1, -1], [402, 1, 11708], [402, 1, 11907], [402, 1, 12170], [402, -1, -1], [403, -1, -1], [404, -1, -1], [405, -1, -1], [406, -1, -1], [407, -1, -1], [408, -1, -1], [409, -1, -1], [410, -1, -1]]"
1752927166.3273,-129.99985706806183,12805.821135138958,12805.821410432614,12816.461752568906,15865.460891638904,"[[412, -1, -1], [413, -1, -1], [414, -1, -1], [415, -1, -1], [416, -1, -1], [417, -1, -1], [418, -1, -1], [419, -1, -1], [420, -1, -1], [421, -1, -1]]"
1752927166.4368,-127.99985301494598,12805.821135138958,12805.821416394569,12816.461752568906,15865.460891638904,"[[423, -1, -1], [424, -1, -1], [425, -1, -1], [426, -1, -1], [427, -1, -1], [428, -1, -1], [429, -1, -1], [430, 1, 13326], [430, 1, 13525], [430, -1, -1], [431, -1, -1], [432, -1, -1]]"
