x,y
-1750.0,60.95362122753027
-1749.2098419683937,60.954702914666306
-1748.4196839367874,60.95578973665571
-1747.629525905181,60.956881726796
-1746.8393678735747,60.95797891866066
-1746.0492098419684,60.95908134610202
-1745.259051810362,60.96018904325405
-1744.4688937787557,60.96130204453523
-1743.6787357471494,60.9624203846515
-1742.888577715543,60.96354409859915
-1742.0984196839368,60.96467322166783
-1741.3082616523304,60.965807789443566
-1740.518103620724,60.96694783781179
-1739.7279455891178,60.96809340296045
-1738.9377875575115,60.96924452138314
-1738.1476295259051,60.97040122988224
-1737.3574714942988,60.97156356557216
-1736.5673134626925,60.97273156588253
-1735.7771554310862,60.97390526856156
-1734.9869973994798,60.97508471167929
-1734.1968393678735,60.97626993363099
-1733.4066813362672,60.97746097314059
-1732.6165233046609,60.97865786926409
-1731.8263652730545,60.97986066139309
-1731.0362072414482,60.9810693892583
-1730.2460492098419,60.98228409293315
-1729.4558911782356,60.98350481283738
-1728.6657331466292,60.984731589740754
-1727.875575115023,60.98596446476677
-1727.0854170834166,60.98720347939639
-1726.2952590518103,60.98844867547192
-1725.505101020204,60.98970009520082
-1724.7149429885976,60.99095778115963
-1723.9247849569913,60.992221776297946
-1723.134626925385,60.99349212394243
-1722.3444688937789,60.99476886780086
-1721.5543108621725,60.99605205196625
-1720.7641528305662,60.99734172092105
-1719.97399479896,60.99863791954132
-1719.1838367673536,60.99994069310105
-1718.3936787357472,61.00125008727648
-1717.603520704141,61.00256614815047
-1716.8133626725346,61.00388892221699
-1716.0232046409283,61.00521845638557
-1715.233046609322,61.00655479798592
-1714.4428885777156,61.007897994772534
-1713.6527305461093,61.00924809492933
-1712.862572514503,61.010605147074486
-1712.0724144828966,61.011969200265156
-1711.2822564512903,61.013340304002405
-1710.492098419684,61.0147185082361
-1709.7019403880777,61.01610386336998
-1708.9117823564713,61.017496420266625
-1708.121624324865,61.01889623025269
-1707.3314662932587,61.020303345124056
-1706.5413082616524,61.02171781715111
-1705.751150230046,61.02313969908408
-1704.9609921984397,61.024569044158504
-1704.1708341668334,61.02600590610065
-1703.380676135227,61.027450339133125
-1702.5905181036208,61.0289023979805
-1701.8003600720144,61.03036213787504
-1701.010202040408,61.03182961456246
-1700.2200440088018,61.03330488430783
-1699.4298859771955,61.034788003901525
-1698.6397279455891,61.036279030665256
-1697.8495699139828,61.03777802245816
-1697.0594118823765,61.03928503768305
-1696.2692538507702,61.04080013529265
-1695.4790958191638,61.04232337479601
-1694.6889377875575,61.04385481626493
-1693.8987797559512,61.04539452034055
-1693.1086217243449,61.046942548239954
-1692.3184636927385,61.04849896176291
-1691.5283056611322,61.05006382329872
-1690.7381476295259,61.051637195833145
-1689.9479895979196,61.05321914295537
-1689.1578315663132,61.05480972886521
-1688.367673534707,61.056409018380236
-1687.5775155031006,61.05801707694319
-1686.7873574714943,61.05963397062932
-1685.997199439888,61.06125976615398
-1685.2070414082816,61.06289453088024
-1684.4168833766753,61.06453833282663
-1683.626725345069,61.06619124067498
-1682.8365673134626,61.06785332377845
-1682.0464092818563,61.069524652169534
-1681.25625125025,61.071205296568316
-1680.4660932186437,61.07289532839078
-1679.6759351870373,61.07459481975722
-1678.885777155431,61.076303843500845
-1678.0956191238247,61.078022473176425
-1677.3054610922184,61.07975078306912
-1676.515303060612,61.081488848203435
-1675.7251450290057,61.08323674435224
-1674.9349869973994,61.084994548046055
-1674.144828965793,61.086762336582304
-1673.3546709341867,61.08854018803486
-1672.5645129025804,61.09032818126362
-1671.774354870974,61.09212639592429
-1670.9841968393678,61.09393491247826
-1670.1940388077614,61.0957538122027
-1669.4038807761553,61.097583177200725
-1668.6137227445488,61.099423090411754
-1667.8235647129427,61.10127363562204
-1667.0334066813364,61.10313489747532
-1666.24324864973,61.105006961483646
-1665.4530906181237,61.10688991403838
-1664.6629325865174,61.10878384242137
-1663.872774554911,61.11068883481622
-1663.0826165233048,61.11260498031988
-1662.2924584916984,61.11453236895423
-1661.502300460092,61.116471091678
-1660.7121424284858,61.118421240398774
-1659.9219843968795,61.12038290798522
-1659.1318263652731,61.12235618827951
-1658.3416683336668,61.124341176109894
-1657.5515103020605,61.12633796730353
-1656.7613522704542,61.12834665869944
-1655.9711942388478,61.13036734816177
-1655.1810362072415,61.132400134593105
-1654.3908781756352,61.13444511794816
-1653.6007201440289,61.13650239924759
-1652.8105621124225,61.13857208059199
-1652.0204040808162,61.140654265176224
-1651.2302460492099,61.142749057303874
-1650.4400880176036,61.14485656240197
-1649.6499299859972,61.14697688703596
-1648.859771954391,61.14911013892491
-1648.0696139227846,61.1512564269569
-1647.2794558911783,61.153415861204735
-1646.489297859572,61.155588552941914
-1645.6991398279656,61.15777461465876
-1644.9089817963593,61.15997416007892
-1644.118823764753,61.16218730417606
-1643.3286657331466,61.16441416319089
