time,Voltage,First,Diode,data
1748599215.9464,-101.00000149011612,12805.357688851238,12816.46147296306,"[[6, -1, -1], [7, -1, -1], [8, -1, -1], [9, -1, -1], [10, -1, -1], [11, -1, -1]]"
1748599216.0029,-99.9999994635582,12805.357688851238,12816.461478164974,"[[12, -1, -1], [13, -1, -1], [14, -1, -1], [15, -1, -1], [16, -1, -1]]"
1748599216.0594,-98.99999743700027,12805.357694468272,12816.461478164974,"[[18, -1, -1], [19, -1, -1], [20, -1, -1], [21, -1, -1], [22, -1, -1]]"
1748599216.1154,-97.99999541044235,12805.357694468272,12816.461478164974,"[[23, -1, -1], [24, -1, -1], [25, -1, -1], [26, -1, -1], [27, -1, -1], [28, -1, -1]]"
1748599216.1714,-96.99999338388443,12805.357690812047,12816.461476313996,"[[29, -1, -1], [30, -1, -1], [31, -1, -1], [32, -1, -1], [33, -1, -1]]"
1748599216.2274,-95.99999135732651,12805.357690812047,12816.461476313996,"[[34, -1, -1], [35, -1, -1], [36, -1, -1], [37, -1, -1], [38, -1, -1], [39, -1, -1]]"
1748599216.2829,-94.99998933076859,12805.357690812047,12816.461471028932,"[[40, -1, -1], [41, -1, -1], [42, -1, -1], [43, -1, -1], [44, -1, -1]]"
1748599216.3394,-93.99998730421066,12805.35768228702,12816.461471028932,"[[46, -1, -1], [47, -1, -1], [48, -1, -1], [49, -1, -1], [50, -1, -1]]"
1748599216.3954,-92.99998527765274,12805.35768228702,12816.461477776222,"[[51, 1, 18778], [51, 1, 18981], [51, -1, -1], [52, -1, -1], [53, -1, -1], [54, -1, -1], [55, -1, -1], [56, -1, -1]]"
1748599216.4519,-91.99998325109482,12805.357682172373,12816.461477776222,"[[57, -1, -1], [58, -1, -1], [59, -1, -1], [60, -1, -1], [61, -1, -1]]"
1748599216.5085,-90.9999812245369,12805.357682172373,12816.461477776222,"[[63, -1, -1], [64, -1, -1], [65, -1, -1], [66, -1, -1], [67, -1, -1]]"
