time,voltage
1748599215.9823,29.9806871
1748599217.0092,29.9834508
1748599218.0358,29.9805854
1748599219.1047,29.9839018
1748599220.1319,29.9806712
1748599221.1594,29.9834159
1748599222.2271,29.9830413
1748599223.254,29.9814403
1748599224.2808,29.9840578
1748599225.3521,29.9810809
1748599226.3796,29.9842333
1748599227.4057,29.9810017
1748599228.4807,29.9821234
1748599229.5081,29.9805941
1748599230.5353,29.9842368
1748599231.6037,29.9816497
1748599232.6303,29.9827878
1748599233.6575,29.9830073
1748599234.7298,29.9809907
1748599235.7868,29.983016
1748599236.814,29.9838418
1748599237.841,29.9806484
1748599238.9097,29.9834592
1748599239.9368,29.9810687
1748599240.9635,29.9819669
1748599242.0313,29.9836563
1748599243.0587,29.9810052
1748599244.0857,29.9839161
1748599245.1566,29.9818252
1748599246.1831,29.9835023
1748599247.2102,29.9826641
1748599248.2851,29.9811409
1748599249.3119,29.9804254
1748599250.3389,29.9831221
1748599251.4082,29.9828867
1748599252.434,29.9814986
1748599253.4606,29.9839165
1748599254.5376,29.9812351
1748599255.5646,29.9823497
1748599256.5914,29.9816005
1748599257.6564,29.9840409
1748599258.6827,29.9826758
1748599259.7097,29.9813616
1748599260.777,29.9842433
1748599261.8337,29.9804753
1748599262.8607,29.9819995
1748599263.8886,29.981511
1748599264.9615,29.9836806
1748599265.9877,29.9823652
1748599267.0142,29.9835958
1748599268.0412,29.980603
1748599269.1045,29.9834716
1748599270.1313,29.9832498
1748599271.158,29.980625
1748599272.2281,29.9829855
1748599273.2549,29.9812463
1748599274.2817,29.9824029
1748599275.3083,29.9833137
1748599276.37,29.9807808
1748599277.3959,29.9807157
1748599278.4227,29.9840067
1748599279.4943,29.98163
1748599280.5207,29.9841002
1748599281.5472,29.9819545
1748599282.5741,29.9816516
1748599283.6398,29.9839564
1748599284.6669,29.9811952
1748599285.6939,29.9817006
1748599286.7661,29.9834028
1748599287.7927,29.9819669
1748599288.8194,29.9836645
1748599289.8463,29.9805215
1748599290.8736,29.9839739
1748599291.9001,29.9823415
1748599292.9631,29.9814651
1748599293.9906,29.9832449
1748599295.0175,29.9829103
1748599296.0444,29.9809738
1748599297.1067,29.984248
1748599298.1344,29.9833777
1748599299.1614,29.9811109
1748599300.1879,29.9837921
1748599301.2511,29.9820721
1748599302.2777,29.9807764
1748599303.3045,29.9837183
1748599304.3313,29.9828187
1748599305.3951,29.9808914
1748599306.4222,29.9837835
1748599307.4489,29.982773
1748599308.4758,29.9812786
1748599309.5362,29.9839594
1748599310.5633,29.9841895
1748599311.5901,29.9807325
1748599312.6638,29.982833
1748599313.6906,29.9805561
1748599314.7174,29.9838594
1748599315.7441,29.9823771
1748599316.8058,29.9815253
1748599317.8331,29.9823031
1748599318.8592,29.9839039
1748599319.9295,29.980543
1748599320.9562,29.98417
1748599321.9826,29.9809352
1748599323.0095,29.9825662
1748599324.0712,29.9833426
1748599325.097,29.9831587
1748599326.1236,29.9808094
1748599327.1957,29.9842876
1748599328.2224,29.980834
1748599329.2496,29.9842225
