input_volt,output_volt
-200.0,-0.196890412
-160.0,-0.15681497
-120.0,-0.116581618
-80.0,-0.0770307339
-40.0,-0.0369630127
0.0,0.00315314314
40.0,0.0431352435
80.0,0.0828974328
120.0,0.12314807
160.0,0.162980163
200.0,0.203222404
