time,voltage
1748596980.2869,29.982309
1748596981.347,29.982159
1748596982.3738,29.982598
1748596983.4002,29.9830699
1748596984.4271,29.9804955
1748596985.4915,29.9827939
1748596986.5187,29.9835276
1748596987.5455,29.980119
1748596988.5722,29.9831099
1748596989.6327,29.9825702
1748596990.6594,29.981992
1748596991.6852,29.9805946
1748596992.7118,29.98391
1748596993.7762,29.9808544
1748596994.8027,29.9807874
1748596995.8291,29.983604
1748596996.8559,29.981943
1748596997.9202,29.9808574
1748596998.9692,29.9840332
1748597000.0429,29.9805894
1748597001.0699,29.9836263
1748597002.0964,29.9802225
1748597003.1223,29.9833219
1748597004.1818,29.9829684
1748597005.2073,29.98299
1748597006.234,29.9805676
1748597007.2613,29.9835764
1748597008.3255,29.9820517
1748597009.3518,29.9803811
1748597010.3786,29.9835883
1748597011.4051,29.9822851
1748597012.4688,29.9810486
1748597013.501,29.9830607
1748597014.5278,29.9806236
1748597015.6045,29.9833259
1748597016.6311,29.9817741
1748597017.6573,29.9835529
1748597018.6841,29.980718
1748597019.7471,29.9810922
1748597020.7736,29.98373
1748597021.8122,29.9833379
1748597022.8796,29.9823877
1748597023.9065,29.9810631
1748597024.9334,29.9839512
1748597025.9598,29.9804922
1748597027.0229,29.9822281
1748597028.0494,29.9835068
1748597029.076,29.982193
1748597030.1029,29.9808553
1748597031.1667,29.9839721
1748597032.2012,29.9828452
1748597033.2281,29.9838537
1748597034.299,29.9817645
1748597035.3256,29.9832817
1748597036.352,29.9831889
1748597037.3784,29.980346
1748597038.4421,29.9834138
1748597039.4689,29.9836471
1748597040.4957,29.9809417
1748597041.5227,29.9818889
1748597042.587,29.9836883
1748597043.6142,29.9812243
1748597044.6411,29.9816157
1748597045.6681,29.9837062
1748597046.7305,29.9809654
1748597047.7573,29.9802881
1748597048.7842,29.983328
1748597049.8108,29.9826768
1748597050.8731,29.9808113
1748597051.8998,29.9807862
1748597052.9264,29.9836961
1748597053.9531,29.9816656
1748597055.0182,29.9805671
1748597056.0453,29.9831547
1748597057.0722,29.982793
1748597058.099,29.980435
1748597059.1606,29.9837122
1748597060.1871,29.9838671
1748597061.2127,29.9830708
1748597062.2396,29.9805753
1748597063.2967,29.9834077
1748597064.4042,29.9806831
1748597065.4314,29.9834112
1748597066.4581,29.9808401
1748597067.5287,29.9811859
1748597068.5558,29.9820084
1748597069.583,29.9808911
1748597070.6559,29.9841217
1748597071.6829,29.9805001
1748597072.7097,29.9838915
1748597073.7841,29.9818859
1748597074.8112,29.9838575
1748597075.8381,29.9811793
1748597076.9095,29.9813327
1748597077.936,29.9826044
1748597078.9628,29.9808544
1748597079.9898,29.9835391
1748597081.0501,29.9832072
1748597082.0771,29.9822968
1748597083.1036,29.980931
1748597084.1778,29.9835267
1748597085.2046,29.9810547
1748597086.2312,29.9840409
1748597087.2582,29.9816621
1748597088.3187,29.9812475
1748597089.3457,29.9812875
1748597090.3719,29.98379
1748597091.3977,29.9811524
1748597092.4572,29.9813677
1748597093.4835,29.9812833
1748597094.5103,29.9840737
1748597095.5376,29.9805454
1748597096.5949,29.9826653
1748597097.6214,29.9810228
1748597098.6476,29.984103
1748597099.6743,29.9807201
1748597100.7345,29.9822839
1748597101.7625,29.9823291
1748597102.7893,29.9827149
1748597103.8615,29.9806545
1748597104.8883,29.9825627
1748597105.9151,29.9807986
1748597106.9838,29.9839786
1748597108.0112,29.9803169
1748597109.0383,29.9835033
1748597110.1056,29.9825453
1748597111.132,29.9810964
1748597112.1589,29.9835736
1748597113.2306,29.9815584
1748597114.2574,29.9840709
1748597115.2841,29.9814581
1748597116.3591,29.9815234
1748597117.3856,29.9805351
1748597118.412,29.982037
1748597119.4386,29.9831657
1748597120.5027,29.9806852
1748597121.5281,29.9809961
1748597122.5552,29.9841438
1748597123.5817,29.9807379
1748597124.6464,29.9818552
1748597125.6734,29.9836157
1748597126.6998,29.9810296
1748597127.7731,29.9817708
1748597128.8001,29.9807457
1748597129.8272,29.9830165
1748597130.8996,29.9830856
1748597131.9264,29.9831303
1748597132.9534,29.9826519
1748597133.9803,29.9808609
1748597135.0399,29.9840721
1748597136.0742,29.9836851
1748597137.1005,29.9817324
1748597138.1732,29.9832325
1748597139.2845,29.9827079
1748597140.3114,29.9809579
1748597141.338,29.981764
1748597142.3651,29.9834201
1748597143.4258,29.98019
1748597144.4526,29.9809225
1748597145.4792,29.9837746
1748597146.5508,29.98252
1748597147.5779,29.9836232
1748597148.6036,29.9826442
1748597149.6786,29.9808274
1748597150.705,29.9811299
1748597151.7317,29.9818301
1748597152.8012,29.9836471
1748597153.8284,29.9808923
1748597154.8543,29.9840187
1748597155.8826,29.9814759
1748597156.9086,29.9817214
1748597157.9352,29.9834562
1748597158.9617,29.9810598
1748597159.9884,29.9820639
1748597161.0592,29.9834977
1748597162.0857,29.9810371
1748597163.1122,29.9840747
1748597164.1881,29.9812843
1748597165.2144,29.9835288
1748597166.2411,29.9805175
1748597167.3093,29.9825198
1748597168.3359,29.9828164
1748597169.3626,29.9805831
1748597170.4306,29.9838605
1748597171.4577,29.9814058
1748597172.4843,29.9814028
1748597173.5594,29.9838479
1748597174.586,29.9823188
1748597175.6122,29.9835162
1748597176.6818,29.9805835
1748597177.7087,29.9837685
1748597178.7356,29.9818392
1748597179.8072,29.9808347
1748597180.8341,29.9825409
1748597181.8607,29.9806531
1748597182.9347,29.9840262
1748597183.9617,29.9812681
1748597184.9877,29.984285
1748597186.0164,29.9806454
1748597187.0718,29.9836117
1748597188.1292,29.9809909
1748597189.1561,29.9808771
1748597190.1875,29.983894
1748597191.2518,29.9805676
1748597192.2776,29.9819634
1748597193.3045,29.9832959
1748597194.3745,29.9807871
1748597195.4002,29.9838718
1748597196.4269,29.9814581
1748597197.5005,29.9815459
1748597198.5273,29.9809652
1748597199.5543,29.9825151
1748597200.6297,29.9833564
1748597201.6567,29.9836469
1748597202.6831,29.981653
1748597203.7564,29.9813086
1748597204.7836,29.9812859
1748597205.8096,29.981474
1748597206.8813,29.9838127
1748597207.9078,29.9811655
1748597208.9346,29.9840168
1748597209.9609,29.9812402
1748597211.0172,29.9815375
1748597212.0434,29.9804737
1748597213.0716,29.9833646
1748597214.0987,29.9818074
1748597215.1284,29.9815829
1748597216.1552,29.9832507
1748597217.2119,29.9807105
1748597218.2387,29.9811716
1748597219.2652,29.9816467
1748597220.3367,29.9839416
1748597221.3635,29.9813053
1748597222.3904,29.9840196
1748597223.4766,29.9807775
1748597224.5033,29.9820004
1748597225.53,29.9836392
1748597226.5887,29.9808736
1748597227.6153,29.9807213
1748597228.643,29.9828108
1748597229.7149,29.9829178
1748597230.7415,29.9832503
1748597231.7679,29.9830582
1748597232.7946,29.9808658
1748597233.8562,29.9834798
1748597234.8831,29.9838282
1748597235.91,29.980379
1748597236.9802,29.9823537
1748597238.0068,29.9812468
1748597239.0337,29.9818884
1748597240.0607,29.9833901
1748597241.1221,29.980848
1748597242.1492,29.9808293
