time,wavenumber
1737190076.2683,12816.461892773694
1737190077.2757,12816.461893788459
1737190078.2846,12816.461893722759
1737190079.2926,12816.461887963795
1737190080.2996,12816.461894632203
1737190081.3078,12816.461888960068
1737190082.317,12816.461894128748
1737190083.3273,12816.46189324641
1737190084.3286,12816.461889063165
1737190085.3388,12816.461894649492
1737190086.3403,12816.461884083492
1737190087.3528,12816.46188664337
1737190088.361,12816.461895216107
1737190089.3713,12816.461892398447
1737190090.3719,12816.461889784376
1737190091.3807,12816.461890937306
1737190092.3883,12816.461887801886
1737190093.3934,12816.461890514278
1737190094.3987,12816.4618919222
1737190095.4089,12816.461890837138
1737190096.4166,12816.461891035444
1737190097.4463,12816.461889412089
1737190098.4527,12816.461897551431
1737190099.4607,12816.46190086486
1737190100.4675,12816.461887032816
1737190101.4713,12816.461892308733
1737190102.4799,12816.461885541661
1737190103.4881,12816.461887638416
1737190104.4949,12816.461887960186
1737190105.4963,12816.461886356154
1737190106.5049,12816.46188796464
1737190107.5151,12816.461894723303
1737190108.5246,12816.461886418463
1737190109.5333,12816.46189324173
1737190110.5414,12816.461887806761
1737190111.5504,12816.461886319039
1737190112.5558,12816.46188936926
1737190113.5646,12816.461893042371
1737190114.5734,12816.461891367355
1737190115.5824,12816.461878833285
1737190116.5837,12816.461885891165
1737190117.592,12816.461885990984
1737190118.6009,12816.461887685467
1737190119.6085,12816.461885896731
1737190120.6166,12816.46188402731
1737190121.6258,12816.46189160328
1737190122.6361,12816.46188921698
1737190123.6443,12816.461891246672
1737190124.6527,12816.461888360935
1737190125.6586,12816.461889985994
1737190126.6682,12816.461890305549
1737190127.6763,12816.461887492913
1737190128.6816,12816.461890112176
1737190129.6845,12816.46188463707
1737190130.6935,12816.461882702217
1737190131.6999,12816.46189268248
1737190132.7064,12816.461886874047
1737190133.7162,12816.46188820337
1737190134.7238,12816.461888018688
1737190135.7321,12816.461889333534
1737190136.7399,12816.46188801536
1737190137.7479,12816.461883071875
1737190138.7571,12816.461884630318
1737190139.7635,12816.461887387703
1737190140.7724,12816.461888190495
1737190141.7805,12816.461894549782
1737190142.782,12816.461883867807
1737190143.7826,12816.461889787788
1737190144.7901,12816.461894602064
1737190145.7975,12816.46189165968
1737190146.8064,12816.461887322972
1737190147.8154,12816.46188931589
1737190148.8215,12816.461890236284
1737190149.8255,12816.461891364981
1737190150.8335,12816.461889498332
1737190151.8399,12816.461881062409
1737190152.8406,12816.46188823676
1737190153.8499,12816.46188284802
1737190154.8572,12816.461891731054
1737190155.8657,12816.461886671703
1737190156.8752,12816.461890646704
1737190157.8839,12816.461885584566
1737190158.8937,12816.461884980044
1737190159.9031,12816.461892316887
1737190160.9089,12816.461891510475
1737190161.9174,12816.461892884252
1737190162.9268,12816.461889048698
1737190163.9358,12816.461887331554
1737190164.9448,12816.461891857278
1737190165.9542,12816.461885198327
1737190166.9621,12816.461889429725
1737190167.9685,12816.461888724916
1737190168.9769,12816.461886576633
1737190169.9849,12816.461894864613
1737190170.9947,12816.4618976908
1737190172.0021,12816.461888556789
1737190173.0103,12816.461885238567
1737190174.0169,12816.461890869576
1737190175.0233,12816.46189296657
1737190176.0311,12816.461886261346
1737190177.0388,12816.46188975873
1737190178.0402,12816.461887016023
1737190179.0504,12816.461892451898
1737190180.0593,12816.461888769625
1737190181.069,12816.461894487895
1737190182.0754,12816.461886956029
1737190183.0845,12816.46188976502
1737190184.0934,12816.461886116553
1737190185.1,12816.461896556433
1737190186.1062,12816.461888904152
1737190187.1138,12816.461885056797
1737190188.1226,12816.461895911083
1737190189.1234,12816.461890533681
1737190190.1332,12816.461895931669
1737190191.1434,12816.461891029243
1737190192.1447,12816.461892592753
1737190193.1473,12816.461896240397
1737190194.159,12816.461890152377
1737190195.1612,12816.46188958165
1737190196.1696,12816.461896091465
1737190197.1759,12816.461883595237
1737190198.1831,12816.461891966
1737190199.189,12816.461896457418
1737190200.1972,12816.461890810842
1737190201.2027,12816.461890208504
1737190202.2105,12816.461889761476
1737190203.2211,12816.461896822115
1737190204.2286,12816.461894029957
1737190205.2368,12816.461884473074
1737190206.2499,12816.461890625404
1737190207.257,12816.461887929658
1737190208.2634,12816.461887147927
1737190209.2641,12816.461882905383
1737190210.272,12816.461895199704
1737190211.2817,12816.461891655616
1737190212.2904,12816.461886629633
1737190213.3,12816.46189404651
1737190214.3101,12816.461895911227
