time,wavenumber
1737189947.3715,
1737189948.3808,12816.461884215503
1737189949.3872,12816.46188608564
1737189950.3879,12816.461884087183
1737189951.4004,12816.461884759283
1737189952.4018,12816.46187619802
1737189953.4086,12816.461886191051
1737189954.4164,12816.461881325242
1737189955.4257,12816.461885425873
1737189956.4337,12816.461883258718
1737189957.4437,12816.461886231187
1737189958.4524,12816.461886780582
1737189959.4592,12816.461895577444
1737189960.4676,12816.461882334326
1737189961.4749,12816.46187901613
1737189962.4803,12816.461885852368
1737189963.4886,12816.461884435052
1737189964.4935,12816.461881400513
1737189965.4985,12816.46188345158
1737189966.5073,12816.461887565805
1737189967.5163,12816.461885460156
1737189968.5258,12816.461886008503
1737189969.5337,12816.461883216476
1737189970.5432,12816.461886955709
1737189971.5517,12816.461880686695
1737189972.5638,12816.461880206758
1737189973.5646,12816.461883404942
1737189974.5657,12816.461886010155
1737189975.5757,12816.461886357854
1737189976.5804,12816.461884976976
1737189977.5894,12816.46188302189
1737189978.5913,12816.461889606268
1737189979.6014,12816.461883036958
1737189980.6091,12816.46188222866
1737189981.6156,12816.461879030421
1737189982.6184,12816.46188563236
1737189983.6282,12816.461896896337
1737189984.6362,12816.461886322431
1737189985.6467,12816.461885179362
1737189986.6552,12816.461889718656
1737189987.6567,12816.461886596935
1737189988.6622,12816.461883058115
1737189989.6647,12816.461879408354
1737189990.6691,12816.461884945724
1737189991.6766,12816.461884054546
1737189992.6801,12816.4618797217
1737189993.6902,12816.46188171735
1737189994.6974,12816.46188642115
1737189995.7067,12816.461886734278
1737189996.7161,12816.46188439865
1737189997.7249,12816.461888943779
1737189998.728,12816.46188555899
1737189999.7366,12816.461890034201
1737190000.7467,12816.46188193559
1737190001.7472,12816.461886107765
1737190002.7585,12816.46188740845
1737190003.7653,12816.461885317507
1737190004.768,12816.461884111877
1737190005.7763,12816.461884026618
1737190006.7853,12816.461886900805
1737190007.7992,12816.46188136101
1737190008.8014,12816.461888293654
1737190009.8083,12816.461891780573
1737190010.8087,12816.46188502174
1737190011.817,12816.461883067064
1737190012.8266,12816.461882081117
1737190013.8346,12816.461889015816
1737190014.8472,12816.461890054024
1737190015.8568,12816.461888326157
1737190016.8588,12816.461883265541
1737190017.8658,12816.461885406348
1737190018.8729,12816.461883088543
1737190019.8784,12816.461887904336
1737190020.8869,12816.461889097613
1737190021.8901,12816.461889331062
1737190022.8907,12816.461893087995
1737190023.892,12816.461887242702
1737190024.8994,12816.46188689273
1737190025.9007,12816.461885562128
1737190026.9103,12816.461891537414
1737190027.9175,12816.461885159075
1737190028.9268,12816.461891884208
1737190029.929,12816.46188623305
1737190030.9319,12816.46189452758
1737190031.9405,12816.461893241203
1737190032.9465,12816.461895271697
1737190033.9538,12816.461887641199
1737190034.9606,12816.46188832279
1737190035.9686,12816.461888947088
1737190036.9699,12816.46189119386
1737190037.9776,12816.461895462868
1737190038.9865,12816.461895911318
1737190039.9924,12816.46188947253
1737190041.0005,12816.46188909935
1737190042.0011,12816.461888133317
1737190043.0098,12816.461887131874
1737190044.0178,12816.461888933774
1737190045.0264,12816.461889209737
1737190046.0337,12816.461888290009
1737190047.0429,12816.461893543703
1737190048.049,12816.461891811747
1737190049.0586,12816.461889664597
1737190050.0688,12816.46188990203
1737190051.0756,12816.461892442292
1737190052.0827,12816.461896223256
1737190053.0878,12816.461889022412
1737190054.0971,12816.461890178267
1737190055.1049,12816.461892141457
1737190056.1136,12816.461889687405
1737190057.1236,12816.461889054197
1737190058.1314,12816.46188965083
1737190059.1372,12816.461889454155
1737190060.1463,12816.461883774593
1737190061.1525,12816.46187913878
1737190062.1558,12816.461886423709
1737190063.1638,12816.461896156034
1737190064.1715,12816.461888873466
1737190065.1793,12816.461889206521
1737190066.1892,12816.46188894845
1737190067.1992,12816.46188720099
1737190068.208,12816.461885935998
1737190069.2149,12816.46188729548
1737190070.2219,12816.461889518248
1737190071.2308,12816.461887648935
1737190072.2379,12816.461888246042
1737190073.2447,12816.461888449221
1737190074.254,12816.461888872871
1737190075.2673,12816.461891741374
